Depozito,Fiyat Durumu,Site İçerisinde,Eşya Durumu,Brüt Metrekare,Aidat,Binanın Yaşı,Takas,Net Metrekare,Türü,Balkon Tipi,Yapı Tipi,Salon Metrekare,WC Sayısı,İlan Güncelleme Tarihi,Bulunduğu Kat,Yapı Durumu,Isıtma Tipi,Oda Sayısı,İlan Oluşturma Tarihi,Balkon Sayısı,Görüntülü Gezilebilir mi?,Fiyat,Banyo Sayısı,Binanın Kat Sayısı,Kategorisi,Balkon Metrekare,Balkon Durumu,Kullanım Durumu,İlan Numarası,WC Metrekare,Banyo Metrekare
,Genel Fiyat,Hayır,Eşyalı,95 M2,,10-May,Yok,85 M2,Konut,,,,,20 Mayıs 2023,3.Kat,,Kombi Doğalgaz,2+1,20 Mayıs 2023,,,"12,000TL",2,5,Kiralık,,,Boş,13255053,,
,Genel Fiyat,Hayır,,85 M2,,0 (Yeni),,1 M2,Konut,,,,,21 Mayıs 2023,1.Kat,,Kombi Doğalgaz,2+1,20 Mayıs 2023,,,"13,000TL",1,4,Kiralık,,,Boş,13254669,,
13000 TL,Genel Fiyat,Hayır,Boş,80 M2,,21 Ve Üzeri,Yok,75 M2,Konut,,Betonarme,,1,20 Mayıs 2023,Yüksek Giriş,İkinci El,Kombi Doğalgaz,2+1,20 Mayıs 2023,1,Hayır,"6,500TL",1,4,Kiralık,,Var,Boş,13254316,,
,Genel Fiyat,Hayır,Eşyalı,100 M2,,21 Ve Üzeri,Yok,90 M2,Konut,,,,,20 Mayıs 2023,1.Kat,,Kombi Doğalgaz,2+1,20 Mayıs 2023,,,"9,000TL",1,5,Kiralık,,,Boş,13253142,,
,Genel Fiyat,Hayır,Eşyalı,100 M2,,21 Ve Üzeri,Yok,85 M2,Konut,,,,,20 Mayıs 2023,Yüksek Giriş,,Kombi Doğalgaz,1.5+1,20 Mayıs 2023,,,"7,500TL",1,4,Kiralık,,,Boş,13252475,,
,Genel Fiyat,Hayır,Boş,140 M2,,16-20,Yok,135 M2,Konut,,,,,20 Mayıs 2023,1.Kat,,Kombi Doğalgaz,3+1,20 Mayıs 2023,,,"13,500TL",1,4,Kiralık,,,Boş,13252345,,
20000 TL,Genel Fiyat,Hayır,,100 M2,50 TL,21 Ve Üzeri,,90 M2,Konut,,,,,19 Mayıs 2023,3.Kat,,Kombi Doğalgaz,2+1,19 Mayıs 2023,,,"10,000TL",1,4,Kiralık,,Var,Boş,13251376,,
10000 TL,Genel Fiyat,Hayır,Eşyalı,90 M2,,21 Ve Üzeri,Yok,80 M2,Konut,,Betonarme,,1,20 Mayıs 2023,3.Kat,İkinci El,Kombi Doğalgaz,2+1,19 Mayıs 2023,1,Evet,"7,750TL",1,3,Kiralık,,Var,Boş,13251327,,
,Genel Fiyat,Hayır,,85 M2,,21 Ve Üzeri,Yok,80 M2,Konut,,Betonarme,,1,19 Mayıs 2023,6.Kat,İkinci El,Doğalgaz Sobalı,2+1,19 Mayıs 2023,1,Hayır,"5,000TL",1,6,Kiralık,,Var,Boş,13251076,,
28000 TL,Genel Fiyat,Hayır,Eşyalı,90 M2,100 TL,10-May,Yok,85 M2,Konut,,Betonarme,,1,21 Mayıs 2023,4.Kat,İkinci El,Kombi Kömür,2+1,19 Mayıs 2023,1,Evet,"14,000TL",1,5,Kiralık,,Var,Boş,13251027,,1 M2
16500 TL,Genel Fiyat,Hayır,Boş,90 M2,,21 Ve Üzeri,Yok,80 M2,Konut,Açık Balkon,Betonarme,,1,20 Mayıs 2023,1.Kat,İkinci El,Kombi Doğalgaz,2+1,19 Mayıs 2023,1,Evet,"8,250TL",1,3,Kiralık,,Var,Boş,13250946,,
8500 TL,Genel Fiyat,Hayır,Boş,95 M2,,21 Ve Üzeri,,85 M2,Konut,,,,1,19 Mayıs 2023,4.Kat,,Kombi Doğalgaz,2+1,19 Mayıs 2023,1,,"8,500TL",1,5,Kiralık,,Var,Boş,13250288,,
9500 TL,Genel Fiyat,Hayır,,140 M2,50 TL,21 Ve Üzeri,,130 M2,Konut,,Betonarme,,1,19 Mayıs 2023,2.Kat,İkinci El,Kombi Doğalgaz,3+1,19 Mayıs 2023,,Hayır,"9,500TL",1,4,Kiralık,,Var,Boş,13250167,,
10000 TL,Genel Fiyat,Hayır,Eşyalı,120 M2,,21 Ve Üzeri,,100 M2,Konut,,,,1,19 Mayıs 2023,Düz Giriş,,Kombi Doğalgaz,3+1,19 Mayıs 2023,,,"10,000TL",1,6,Kiralık,,Var,Boş,13249753,,
